iter	MultiClass
0	1.012555233
1	0.9295753608
2	0.8599114292
3	0.7906540475
4	0.735875981
5	0.6915915976
6	0.6478932325
7	0.6098087727
8	0.5780369592
9	0.5468898636
10	0.5164029129
11	0.4842322323
12	0.4608519468
13	0.4367846268
14	0.4168350138
15	0.3943221515
16	0.3759609291
17	0.3565564742
18	0.3406783392
19	0.3254634974
20	0.3103354507
21	0.2998283975
22	0.2886243048
23	0.2749121492
24	0.2655220371
25	0.2544143649
26	0.2445141469
27	0.2365759347
28	0.2280945159
29	0.2206968414
30	0.2137375727
31	0.2073523476
32	0.2006497829
33	0.194130083
34	0.1867212984
35	0.1797268623
36	0.1748406258
37	0.1698574664
38	0.1651935956
39	0.1604232163
40	0.1567319631
41	0.1518655934
42	0.146334652
43	0.1436592556
44	0.1394521576
45	0.1363651537
46	0.1317310062
47	0.1276876621
48	0.1243508906
49	0.1211548292
50	0.1177978592
51	0.114551854
52	0.1115429172
53	0.1093967176
54	0.1065501861
55	0.1047893091
56	0.1019908516
57	0.09979791707
58	0.09810656757
59	0.09560675936
60	0.09340615778
61	0.09174207272
62	0.0897328815
63	0.08817383132
64	0.08628738615
65	0.08410890321
66	0.08201611421
67	0.08045581587
68	0.0788840858
69	0.07710486963
70	0.0756208095
71	0.07439865186
72	0.07320366765
73	0.07190014888
74	0.07068855995
75	0.0691147377
76	0.06811412221
77	0.06705209909
78	0.06602423868
79	0.06471609779
80	0.06362605023
81	0.06197865987
82	0.06090816959
83	0.05999252085
84	0.05902746122
85	0.05822514996
86	0.05708968651
87	0.05634596441
88	0.0555703436
89	0.05463827096
90	0.05387511197
91	0.05300875448
92	0.05229683162
93	0.05126709589
94	0.05003055049
95	0.04910297149
96	0.04818165241
97	0.04738167813
98	0.04662296403
99	0.0459552292
100	0.04526734814
101	0.04435509437
102	0.04379560244
103	0.04337314256
104	0.04287647777
105	0.04223420011
106	0.0417394371
107	0.04111724776
108	0.04041080291
109	0.03981303135
110	0.03930867674
111	0.03887053154
112	0.03836673396
113	0.03789995268
114	0.03750647419
115	0.03719242481
116	0.03677288304
117	0.03626760738
118	0.03591315277
119	0.03560772694
120	0.03523931017
121	0.03473268236
122	0.03429311492
123	0.03388120824
124	0.03358515458
125	0.03321940385
126	0.03290978934
127	0.03256151525
128	0.03218485592
129	0.03181089692
130	0.03151672554
131	0.03112024856
132	0.03070267383
133	0.03041591717
134	0.0301661642
135	0.02983572145
136	0.02949872639
137	0.02914958706
138	0.02894737835
139	0.02867470925
140	0.02845390917
141	0.02827400466
142	0.02805644311
143	0.02758083627
144	0.02723175475
145	0.02703732075
146	0.02680961917
147	0.02649269764
148	0.02619251696
149	0.02588258376
150	0.02558953272
151	0.02535789593
152	0.02511584981
153	0.02479761274
154	0.0244809246
